ID,source,min_yearly_salary,max_yearly_salary,company_link,description
41023000009,NakuriGulf,"$4,321","$4,861",https://www.naukrigulf.com/etisalat-facilities-management-careers-cid-79094,"Job Description
Roles & Responsibilities
Computer/Systems Graduate with 4-6 Years of experience on the following:
· Experience in the analysis, design, development and implementation for data analytics and business intelligence solutions. Provide technical oversight and guidance.
· Experience to architect, plan and manage bigdata pipelines and AI environment for the development of critical information technology solutions.
· Guide in establishing and ensuring compliance to internal data governance policies and procedures and external regulations.
· Extensive knowhow of Hadoop administration with Cloudera Hadoop (CDH/CDP) components such as HDFS, Sentry, Impala, Hue, Spark, Hive, Kafka, YARN, Oozie, AirFlow and ZooKeeper.
· Hands on experience in developing Talend ETL Hadoop jobs.
· Hands on experience in data integrity policy implementation in Talend ETL.
· Hands on experience in writing Spark programs either in PySpark or Scala using features RDD, spark SQL (DataFrame API style and SQL style of coding) and Spark JDBC for data ingestion.
· Hands on experience in writing Sqoop import/export jobs.
· Hands on experience in tuning Cloudera Impala.
· Hands on experience in handling work flows using AirFlow or Oozie.
· Hands on experience with Hive tuning/partitioning and Spark tuning.
· Good Knowledge on Hadoop file formats like, Text file, Sequence file, Avro, Json, Parquet and Orc and have experience in handling these different file formats.
· Familiar with storage layer Hadoop Distributed File System (HDFS), computation layer Map Reduce (MRV1, MRV2), Spark framework and Hadoop eco system Yarn, Hive, Sqoop.
· Hands on experience on Yarn framework, Standalone cluster manager and major Hadoop distributions (Cloudera and Hortonworks)
· Expertise in AI and Data Science, candidate should be well versed in frameworks and libraries like TensorFlow, ScikitLearn, Theano , Caffe2, PyTorch, Spark Mlib, OpenCv Desired Candidate Profile
Minimum of 4 Yrs of experience in the same domain."
140923000113,NakuriGulf,,,,"Job Description
Roles & Responsibilities
Job Title: Azure Data Engineer
Department: Data Platform & Operations
Location: Abudhabi

Key Responsibilities:
• Design, construct, install, test, and maintain highly scalable and robust data management
systems.
• Understand and apply data warehousing concepts to design and implement robust data
warehouse tables in line with business requirements.
• Build complex ETL/ELT processes for large-scale data migration and transformation across
platforms and Enterprise systems such as: Oracle ERP, ERP Fusion, and Salesforce.
• Ability & expertise to extract data from several sources like APIs, Jsons, Databases etc
• Leverage PySpark and Databricks within the Azure ecosystem to manipulate large datasets,
improve the performance, and enhance scalability of our data operations.
• Develop and implement Azure-based data architectures consistent across multiple projects
while adhering to best practices and standards.
• Lead initiatives for data integrity and normalization within Azure data storage and processing
environments.
• Evaluate and optimize Azure-based database systems for performance efficiency, reusability,
reliability, and scalability.
• Troubleshoot complex data-related issues within Azure and provide expert guidance and
support to the team.
• Ensure all data processes adhere to governance, data security, and privacy regulations.
Required Qualifications:
• Bachelor's degree in Computer Science, Information Technology, Engineering, or a related
field.
• 8+ years of experience in a Data Engineer role, with at least 3 years as an Azure data
engineer.
• Expertise in Python, SQL, and deep understanding of PySpark.
• Proficient in Databricks or similar big data solutions.
• Strong knowledge of ETL/ELT frameworks, data structures, and software architecture.
• Proven experience in designing and deploying high-performance data processing systems on.
• Extensive experience with Azure cloud data platforms, including Azure Data Factory, Azure
SQL Data Warehouse, Azure Databricks.
• Ability to design and implement data schemas, data models, and database designs in
accordance with business requirements. Desired Candidate Profile
Preferred Qualifications:
• Databricks certification or equivalent big data technology certification.
• Exceptional analytical and problem-solving abilities.
• Excellent communication skills."
111023500457,NakuriGulf,,,https://www.naukrigulf.com/careem-careers-cid-1000033,"Job Description
Roles & Responsibilities

Careem is building the Everything App for the greater Middle East, making it easier than ever to move around, order food and groceries, manage payments, and more. Careem is led by a powerful purpose to simplify and improve the lives of people and build an awesome organisation that inspires. Since 2012, Careem has created earnings for over 2.5 million Captains, simplified the lives of over 50 million customers, and built a platform for the region s best talent to thrive and for entrepreneurs to scale their businesses. Careem operates in over 70 cities across 10 countries, from Morocco to Pakistan.
We are looking for seasoned engineers who are quality conscious, product thinkers, business cognizant and smart not mere coders. Engineers get to significantly amplify the impact of their work or creations with the scale that Careem operates at. The same scale also demands the engineers to produce super-efficient solutions.
What you'll do
• Lead the team technically in improving scalability, stability, accuracy, speed and efficiency of our existing Data systems
• Work closely with business units and engineering teams to develop strategy for long term Data Platform architecture to be efficient, reliable and scalable
• Conceptualize and own the data architecture for multiple large-scale projects, while evaluating design and operational cost-benefit tradeoffs within systems
• Collaborate with engineers, product managers, and data scientists to understand data needs, representing key data insights in a meaningful way
• Design, build, and launch collections of sophisticated data models and visualizations that support multiple use cases across different products or domains
• Solve our most challenging data integration problems, utilizing optimal ETL patterns, frameworks, query techniques, sourcing from structured and unstructured data sources
• Optimize pipelines, dashboards, frameworks, and systems to facilitate easier development of data artifacts
What you'll need
• Bachelor s degree in Computer Science /Information Systems/Engineering/related field
• Overall 12 years of experience in software engineering
• At least 5 years of experience in Data engineering, familiar with large dataset
• Expert in few of the following: Apache Spark, Streaming, Flink, Kafka, Trino
• Expert coder with strong data structure and problem-solving skills.
• A good understanding of data architecture principles preferred
• Proven track of record for great learning skills, love to solve challenging problems
• Take a hands-on role in influencing and guiding day-to-day development activities by leading architecture decisions, participating in designs, design review, code review, and implementation
Nice to have:
• Experience working with Open-source products
• Working in an agile environment using test driven methodologies
What we ll provide you
We offer colleagues the opportunity to drive impact in the region while they learn and grow. As a Careem colleague you will be able to:
• Work and learn from great minds by joining a community of inspiring colleagues.
• Put your passion to work in a purposeful organisation dedicated to creating impact in a region with a lot of untapped potential.
• Explore new opportunities to learn and grow every day.
• Enjoy the flexibility that comes with the trust of being an owner; work in a hybrid style with a mix of days at the office and at home, and remotely from any country in the world for 30 days a year with unlimited vacation days per year.
• Access to healthcare benefits and fitness reimbursements for health activities including: gym, health club and training classes."
91023500079,NakuriGulf,,,,"Job Description
Roles & Responsibilities
We do have an urgent position opening for Senior Data Engineer for one of our reputed aviation organization in Dubai, Qatar, Doha, and Saudi Arabia
• Position: Senior Data Engineer
• Company: Convate (in collaboration with a prominent player in the Aviation Sector)
• Location: Dubai, Qatar, Doha, and Saudi Arabia
• Salary: $16,000 monthly (Total: $4,416,000 annually)
• Experience: 9 to 12 years
• Job Type: Full-time
Job Description:
Convate, in collaboration with a leading player in the Aviation Sector, is seeking a highly skilled and experienced Senior Data Engineer to join our dynamic team. The successful candidate will play a key role in designing and developing robust, scalable, and efficient data pipelines and architectures. The Senior Data Engineer will work with cutting-edge technologies and collaborate with cross-functional teams to drive data-driven decision-making processes.
Key Responsibilities:
• Design, develop, and optimize big data pipelines, architectures, and datasets.
• Utilize strong skills in ANSI SQL, PySpark, Spark SQL, Azure Databricks, and ADLS for data processing and transformation.
• Develop and implement efficient data storage solutions using Azure Analytics DB and Data Lake Storage.
• Work on programming tasks using Python and relevant libraries like Pandas, NumPy, and SciPy.
• Collaborate with stakeholders to understand data requirements and translate them into technical solutions.
• Implement and optimize message queuing and stream processing systems.
• Troubleshoot, optimize, and improve existing data pipelines for performance and reliability.
• Ensure data quality, integrity, and security in all aspects of data processing.
• Stay updated with emerging technologies and industry trends related to big data and analytics.
Qualifications:
• Bachelor's/Master's or equivalent degree in Computer Science/Engineering or related field.
• Proven experience (9 to 12 years) in building and optimizing big data pipelines, architectures, and data sets.
• Strong proficiency in ANSI SQL, PySpark, Spark SQL, Azure Databricks, ADLS, and Python programming.
• Experience in working with Python libraries such as Pandas, NumPy, and SciPy.
• Knowledge of message queuing, stream processing, and highly scalable big data data stores.
• Familiarity with cloud-based data technologies, especially within the Azure ecosystem.
• Excellent problem-solving skills and attention to detail.
• Strong communication and collaboration abilities, with a proactive approach to problem-solving."
91023500187,NakuriGulf,,,,"Job Description
Roles & Responsibilities
Dear Candidate
WARM GREETINGS FROM THE CONVATE
We do have an urgent position opening for Azure + SQL Data Engineer for one of our reputed aviation organization in Dubai, Qatar, Doha, and Saudi Arabia
• Position: Azure + SQL Data Engineer
• Experience: 6 to 9 years
• Location: Dubai, Qatar, Doha, and Saudi Arabia
About Us:
Convate is collaborating with a prominent player in the Aviation Sector, and we are seeking a skilled Azure + SQL Data Engineer to join our team. If you have 6 to 9 years of experience in data engineering with expertise in Azure technologies, ANSI SQL, Pyspark, Spark SQL, Databricks, ADLS, Python libraries, and Azure analytics databases, we want to hear from you.
Key Responsibilities:
• Utilize strong skills in ANSI SQL, Pyspark, Spark SQL, Databricks, ADLS, Python libraries, and Azure analytics databases to develop robust data engineering solutions.
• Possess a Bachelor's/Masters or equivalent degree in Computer Science/Engineering.
• Demonstrate proficiency in Python programming and libraries like Pandas, NumPy, and SciPy.
• Design and optimize big data pipelines, architectures, and data sets, ensuring efficiency and scalability.
• Program using Azure Databricks and Azure Data Lake Storage (ADLS) for data processing and storage.
• Apply knowledge of message queuing, stream processing, and highly scalable big data data stores to enhance data processing capabilities.
Qualifications:
• Bachelor's/Masters or equivalent degree in Computer Science or Engineering.
• 6 to 9 years of professional experience in data engineering, with expertise in Azure technologies, ANSI SQL, Pyspark, Spark SQL, Databricks, ADLS, Python libraries, and Azure analytics databases.
• Proficiency in Python programming and libraries such as Pandas, NumPy, and SciPy.
• Experience in building and optimizing big data pipelines, architectures, and data sets for efficiency and scalability.
• Programming expertise using Azure Databricks and Azure Data Lake Storage (ADLS).
• Knowledge of message queuing, stream processing, and highly scalable big data data stores."
91023501381,NakuriGulf,,,, 
41023500643,NakuriGulf,,,,"Job Description
Roles & Responsibilities
Job Description

Design, build, and maintain the data infrastructure that supports the ILLA s operations.

Collect, store, process, and analyze data from a variety of sources.

Develop and implement data pipelines to move data from source systems to data warehouses and data lakes.

Develop and implement data models and algorithms to analyze data.

Work with data scientists and business analysts to develop and implement data-driven solutions.

Ensure the security and compliance of the data infrastructure.

Stay up-to-date on the latest data technologies and trends.
Requirements
3+ years of experience in data engineering.
Experience with data warehouse and data lake technologies.
Experience with data modeling and data analysis.
Experience with cloud computing platforms (AWS).
Strong programming skills in Python, and SQL.
Experience with big data technologies.
Experience with data visualization tools, such as Metabase, PowerBI and Tableau.
Bachelor's degree in Computer Science, Information Technology, or a related field.
Strong problem-solving and analytical skills.
Excellent communication and interpersonal skills."
41023501675,NakuriGulf,,,,"Job Description
Roles & Responsibilities
Summary
Seeking an Azure Data Engineer to support and refine client's data and analytics technology stack with an emphasis on improving reliability, scale, and availability. As an Azure Data Engineer, you will assist in the design and management of enterprise grade data pipelines and data stores that will used for developing sophisticated analytics programs, machine learning models, and statistical methods
Job Responsibilities:
• Create and maintain optimal data pipeline architecture
• Assemble large, complex data sets that meet functional/non-functional business requirements
• Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
• Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and Big Data technologies
• Deliver automation & lean processes to ensure high quality throughput & performance of the entire data & analytics platform
• Work with data and analytics experts to strive for greater functionality in our analytics platforms
Requirements:
• Experience in building/operating/maintaining fault tolerant and scalable data processing integrations using Azure
• Experience delivering data solutions using Synapse, Azure Data Factory, Data Lakes, SQL Server
• Experienced in Data Warehousing and ETL/ELT
• Strong problem-solving skills with emphasis on optimization data pipelines
• Excellent written and verbal communication skills for coordinating across teams
• A drive to learn and master new technologies and techniques
• Experience using Power BI, SSRS, SSIS, OLAP cubes, Python, Data bricks is a plus
Benefits
• Microsoft certifications
• Opportunities for professional and career development
• Ability to work from anywhere in the world
• EU or US time zone"
210923500429,NakuriGulf,,,,"Job Description
Roles & Responsibilities
Job Description
We are seeking experienced data engineers to help us with rapid expansion of our Data Cloud, constructing new data pipelines and buildout of the Snowflake cloud data warehouse structures for various stakeholders and analytics applications, using most modern techniques and technologies. Our modern solution features standardized data ingestion pipelines that support low latency of data updates from the sources and enable a variety of analytics applications.
What you ll be doing:
• Build a new data ingestion pipeline into our data cloud, while helping guide the decisions about the future of our data infrastructure.
• Be the key contributor in the assigned domains for the data pipelines and new data lake and cloud data warehouse structures being created for analytics and reporting or AI/ML applications.
• Contribute to the development of the data models, data dictionaries and catalog references in the application domains of the primary responsibility.
• Maintain and monitor our data pipeline processes and data cloud zones to ensure timely, quality and accurate data.
• Steward our data cloud, through the definition of standards and best practices around data usage, including metadata cataloging and organization.
• Contribute to our team's thought leadership for data cloud and operational processes lifecycle and tooling. Desired Candidate Profile
Qualifications
• BS in an Engineering or Science discipline, or equivalent experience.
• 3-5+ years of software/data engineering experience using Java, Scala, and/or Python, with at least 5 years experience in a data focused role.
• Experience in data integration (ETL/ELT) development using multiple languages (e.g., Java, Scala, Python, PySpark, SparkSQL).
• Experience building and maintaining data pipelines supporting a variety of integration patterns (batch, replication/CDC, event streaming) and data lake/warehouse in production environments.
• Experience with AWS-based data services technologies (e.g., Kinesis, Glue, RDS, Athena, Snowflake, etc.)
• Experience of working in the larger initiatives building and rationalizing large scale data environments with a large variety of data pipelines, possibly with internal and external partner integrations, would be a plus.
• Familiarity with frameworks for Audit, Balance and Control (ABC) for managing data pipelines operations and data quality, would be a plus.
• Willingness to experiment and learn new approaches and technology applications
• Knowledge and experience with various databases (e.g., SQL Server, MySQL, PostgreSQL, MongoDB, Teradata) and SQL.
• Knowledge of software engineering and agile development best practices.
• Excellent written and verbal communication skills."
20823500835,NakuriGulf,,,https://www.naukrigulf.com/saudi-aramco-overview-cid-18945,"Job Description
Roles & Responsibilities

Aramco energizes the world economy.
Aramco occupies a unique position in the global energy industry. We are the world's largest producer of hydrocarbons (oil and gas), with the lowest upstream carbon intensity of any major producer.
With our significant investment in technology and infrastructure, we strive to maximize the value of the energy we produce for the world along with a commitment to enhance Aramco s value to society.
Headquartered in the Kingdom of Saudi Arabia, and with offices around the world, we combine market discipline with a generations spanning view of the future, born of our nine decades experience as responsible stewards of the Kingdom s vast hydrocarbon resources. This responsibility has driven us to deliver significant societal and economic benefits to not just the Kingdom, but also to a vast number of communities, economies, and countries that rely on the vital and reliable energy that we supply.
We are one of the most profitable companies in the world, as well as amongst the top five global companies by market capitalization.
Overview
We are seeking a Senior Data Engineer to join the Corporate Data Office within our Digital Transformation Admin Area.
The Corporate Data Office is responsible for establishing and executing world-class Corporate-wide data governance to ensure all data assets are proactively and efficiently governed and managed across Saudi Aramco, to foster a data driven organization and promote data value realization in line with its strategic goals as well to adequately comply with national and international data regulations.
The Data Engineer will be responsible for expanding and optimizing data and data pipeline architecture, as well as optimizing data flow and collection for cross-functional teams.
The Data Engineer will be an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up. The Data Engineer will support external software developers, database architects, data analysts, and data scientists on strategic data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects within the Corporate Data Officer and beyond.
Duties & Responsibilities
• Create and maintain optimal data pipeline architecture for the Corporate Data Office;
• Assemble large, complex data sets that meet functional / non-functional business requirements;
• Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
• designing and building new, cutting-edge Data Quality management product features
• Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources;
• Build data analytics tools that utilize the data pipeline to provide actionable insights into data compliance, operational efficiency, and other key business performance metrics;
• Optimize the performance of Corporate data platforms and services to ensure that they can handle large volumes of data and support real-time processing and analysis.
• Build out Corporate data quality checks and develop processes for identifying and resolving data quality issues.
• Develop a corporate data library / metadata repository including best practice for development of data transformation specifications;
• Enable the engineering components to the rollout of the Corporate data strategy framework, with a focus on improvement of data quality and the protection of sensitive data through related tools and architecture.
• Establishes measures to chart progress related to the completeness and quality of metadata for enterprise information; to support reduction of data redundancy and fragmentation and elimination of unnecessary movement of data; and to improve data quality.
Education & Experience Requirements
• Bachelor s degree in Computer Science, Management of Information System, or Information Management from a recognized and approved program. An advanced degree is preferred.
• Ten (10) years of experience with large-scale data management and oversight experience
• Candidate must have knowledge of industry leading data quality and data protection management practices.
• Candidate should have prior experience of implementing data governance platforms/tooling e.g. Informatica, Collibra, Alation etc.
• Candidate will have experience of creating data pipelines, ETL processes, data modeling, and data quality rules is highly desirable.
• Candidate will be able to conduct data profiling, cataloguing, and mapping for technical design and construction of technical data flows
• Candidate will be able to demonstrate consulting skills, with change management concepts and strategies, including communication, culture change and performance measurement system design.
• knowledge of risk data architecture particularly within the Oil and Gas sector.
 "
