Country,Data_Analyst
Malawi,100
Ethiopia,99
Botswana,84
Zimbabwe,81
Kenya,59
Philippines,58
Nigeria,49
Zambia,44
Tanzania,43
Ghana,39
China,36
Uganda,36
Jamaica,26
Singapore,24
Nepal,23
South Africa,23
Sri Lanka,21
Pakistan,20
India,19
Hong Kong,16
Malaysia,16
United Arab Emirates,14
Ireland,12
Australia,12
Lebanon,12
Bangladesh,12
Canada,11
United Kingdom,11
United States,11
Egypt,11
South Korea,9
Jordan,9
New Zealand,8
Saudi Arabia,7
Denmark,6
Netherlands,6
Finland,5
Switzerland,5
Morocco,5
Thailand,5
Norway,5
Greece,5
Israel,5
Vietnam,5
Portugal,4
Indonesia,4
Iraq,4
Sweden,4
Taiwan,4
Belgium,4
Austria,3
Germany,3
Kazakhstan,3
Czechia,3
Romania,3
Italy,2
Iran,2
Spain,2
Türkiye,2
France,2
Colombia,2
Chile,1
Russia,1
Poland,1
Ukraine,1
Mexico,1
Brazil,1
Japan,1
Argentina,1
