Country,Data_Science
India,100
Singapore,90
Ethiopia,86
Nigeria,84
China,79
Kenya,79
Pakistan,69
Ghana,63
Nepal,61
Sri Lanka,58
United Arab Emirates,50
Hong Kong,46
South Africa,44
Tunisia,42
Bangladesh,40
United States,38
Canada,36
Philippines,35
Australia,33
Malaysia,30
Morocco,29
United Kingdom,29
Ireland,28
Switzerland,27
Netherlands,26
South Korea,23
Portugal,22
Israel,21
New Zealand,21
Egypt,20
Thailand,19
Germany,17
Denmark,16
Austria,16
Vietnam,15
Greece,15
Indonesia,15
Chile,15
Saudi Arabia,14
Brazil,13
Kazakhstan,13
Russia,13
Peru,11
Norway,11
Belgium,11
France,11
Algeria,11
Sweden,11
Spain,10
Finland,10
Italy,10
Argentina,10
Taiwan,9
Colombia,9
Poland,9
Hungary,8
Ukraine,8
Mexico,7
Iran,7
Romania,7
Türkiye,5
Japan,2
