company_id,company_name,industry,size,direct_link
488621811,Giacom,IT Services and IT Consulting,"501-1,000 employees","https://giacom.com
External link for Giacom"
1012220725,LGC,Biotechnology Research,"1,001-5,000 employees","http://www.lgcgroup.com
External link for LGC"
350429744,InterQuest Group,Staffing and Recruiting,201-500 employees,"https://www.interquestgroup.com
External link for InterQuest Group"
2063991446,Saragossa,IT Services and IT Consulting,51-200 employees,"http://www.saragossa.co.uk
External link for Saragossa"
1713981033,Network IT Recruitment Limited,Staffing and Recruiting,11-50 employees,"http://www.networkitr.co.uk
External link for Network IT Recruitment Limited"
70852839,Venturi,Staffing and Recruiting,51-200 employees,"http://www.venturi-group.com/
External link for Venturi"
1229205461,MetaVoice,Research Services,2-10 employees,"http://themetavoice.xyz
External link for MetaVoice"
1248421382,Fenics,Financial Services,51-200 employees,"http://www.bgcpartners.com/
External link for Fenics"
1823642379,Hunter Bond,Staffing and Recruiting,11-50 employees,"http://www.hunterbond.com
External link for Hunter Bond"
1484511365,Understanding Recruitment,Staffing and Recruiting,51-200 employees,"https://www.understandingrecruitment.co.uk/
External link for Understanding Recruitment"
1558778155,Anthony Nolan,Non-profit Organization Management,201-500 employees,"https://www.anthonynolan.org/?utm_source=linkedin&utm_medium=profile&utm_campaign=com-mainpage&utm_term=main
External link for Anthony Nolan"
34273834,SR2 | Socially Responsible Recruitment | Certified B Corporation™,IT Services and IT Consulting,11-50 employees,"http://www.sr2rec.com
External link for SR2 | Socially Responsible Recruitment | Certified B Corporation™"
1766177419,RWE,Utilities,"10,001+ employees","https://www.rwe.com
External link for RWE"
220099804,Booking.com,Software Development,"10,001+ employees","http://careers.booking.com
External link for Booking.com"
1476564444,NG Bailey,Construction,"1,001-5,000 employees","http://www.ngbailey.com
External link for NG Bailey"
270341957,CareerAddict,Staffing and Recruiting,11-50 employees,"https://www.careeraddict.com
External link for CareerAddict"
247021394,La Fosse,Staffing and Recruiting,201-500 employees,"https://www.lafosse.com/
External link for La Fosse"
1729429171,Office for National Statistics,Government Administration,"1,001-5,000 employees","http://www.ons.gov.uk
External link for Office for National Statistics"
1524515981,Ethypharm,Pharmaceutical Manufacturing,"1,001-5,000 employees","http://www.ethypharm.com
External link for Ethypharm"
1806027596,Moody's Analytics,Financial Services,"5,001-10,000 employees","https://www.moodysanalytics.com
External link for Moody's Analytics"
161145750,Amber Labs,IT Services and IT Consulting,51-200 employees,"https://amberlabs.io
External link for Amber Labs"
2042168495,JPMorgan Chase & Co.,Financial Services,"10,001+ employees","http://www.jpmorganchase.com
External link for JPMorgan Chase & Co."
2139859447,Rise Technical,Staffing and Recruiting,201-500 employees,"https://bit.ly/RiseLinBio1
External link for Rise Technical"
1793092866,Opus Recruitment Solutions,Staffing and Recruiting,201-500 employees,"https://www.opusrecruitmentsolutions.com/
External link for Opus Recruitment Solutions"
741705576,KDC Resource,Staffing and Recruiting,11-50 employees,"http://www.kdcresource.com
External link for KDC Resource"
766161051,HANDLE® Global,Hospitals and Health Care,11-50 employees,"http://www.handleglobal.com
External link for HANDLE® Global"
1560867063,Konba,Software Development,2-10 employees,"https://konba.app
External link for Konba"
218482175,Meta,Software Development,"10,001+ employees","https://www.metacareers.com/
External link for Meta"
