Week,data_analyst,data_scientist,data_engineer
10/28/2018,25,23,8
11/4/2018,25,24,8
11/11/2018,27,23,8
11/18/2018,23,19,6
11/25/2018,26,23,8
12/2/2018,27,23,8
12/9/2018,24,22,7
12/16/2018,24,20,7
12/23/2018,20,16,5
12/30/2018,22,19,6
1/6/2019,28,25,8
1/13/2019,30,25,8
1/20/2019,30,25,9
1/27/2019,31,27,10
2/3/2019,29,25,9
2/10/2019,28,26,9
2/17/2019,30,27,10
2/24/2019,29,24,8
3/3/2019,28,24,9
3/10/2019,30,25,9
3/17/2019,30,25,9
3/24/2019,30,24,10
3/31/2019,30,25,9
4/7/2019,30,25,9
4/14/2019,27,26,9
4/21/2019,27,25,9
4/28/2019,27,27,9
5/5/2019,29,25,10
5/12/2019,28,27,10
5/19/2019,31,28,10
5/26/2019,31,26,10
6/2/2019,31,25,9
6/9/2019,31,27,10
6/16/2019,32,26,10
6/23/2019,32,27,10
6/30/2019,31,25,10
7/7/2019,35,28,11
7/14/2019,34,28,11
7/21/2019,34,29,11
7/28/2019,34,30,11
8/4/2019,33,30,11
8/11/2019,33,30,11
8/18/2019,36,29,12
8/25/2019,34,30,12
9/1/2019,34,31,11
9/8/2019,35,31,12
9/15/2019,34,30,12
9/22/2019,36,31,11
9/29/2019,33,28,11
10/6/2019,34,29,11
10/13/2019,35,29,11
10/20/2019,32,26,11
10/27/2019,31,27,10
11/3/2019,34,27,12
11/10/2019,35,28,12
11/17/2019,36,31,12
11/24/2019,29,27,10
12/1/2019,31,28,10
12/8/2019,30,26,11
12/15/2019,31,26,11
12/22/2019,26,23,10
12/29/2019,28,25,9
1/5/2020,37,29,12
1/12/2020,35,28,11
1/19/2020,34,30,12
1/26/2020,36,30,12
2/2/2020,35,30,12
2/9/2020,34,30,12
2/16/2020,35,31,13
2/23/2020,37,29,13
3/1/2020,34,28,12
3/8/2020,30,25,10
3/15/2020,24,20,8
3/22/2020,22,20,8
3/29/2020,24,22,9
4/5/2020,25,23,9
4/12/2020,26,25,10
4/19/2020,27,25,10
4/26/2020,28,25,10
5/3/2020,28,26,11
5/10/2020,29,26,10
5/17/2020,30,29,11
5/24/2020,28,27,11
5/31/2020,32,26,12
6/7/2020,32,27,11
6/14/2020,32,29,12
6/21/2020,32,28,12
6/28/2020,32,28,11
7/5/2020,35,28,11
7/12/2020,37,29,12
7/19/2020,34,28,13
7/26/2020,35,28,14
8/2/2020,34,27,12
8/9/2020,34,26,13
8/16/2020,33,29,13
8/23/2020,35,31,14
8/30/2020,33,31,13
9/6/2020,34,32,12
9/13/2020,35,32,14
9/20/2020,34,33,14
9/27/2020,33,29,12
10/4/2020,34,32,14
10/11/2020,30,27,13
10/18/2020,32,28,12
10/25/2020,32,25,11
11/1/2020,29,23,10
11/8/2020,29,24,10
11/15/2020,31,25,11
11/22/2020,27,22,11
11/29/2020,31,25,11
12/6/2020,32,31,11
12/13/2020,30,25,11
12/20/2020,25,21,9
12/27/2020,25,21,9
1/3/2021,34,25,11
1/10/2021,33,26,12
1/17/2021,34,30,12
1/24/2021,33,28,12
1/31/2021,37,27,13
2/7/2021,36,27,14
2/14/2021,34,27,14
2/21/2021,36,27,15
2/28/2021,37,28,14
3/7/2021,35,26,14
3/14/2021,38,27,14
3/21/2021,40,26,13
3/28/2021,38,26,13
4/4/2021,37,26,13
4/11/2021,39,26,12
4/18/2021,38,27,14
4/25/2021,37,27,14
5/2/2021,37,28,15
5/9/2021,37,27,15
5/16/2021,45,28,15
5/23/2021,40,30,16
5/30/2021,35,29,16
6/6/2021,42,31,15
6/13/2021,44,29,16
6/20/2021,41,28,15
6/27/2021,43,29,15
7/4/2021,42,27,16
7/11/2021,41,29,17
7/18/2021,41,28,16
7/25/2021,41,30,17
8/1/2021,41,28,15
8/8/2021,41,29,17
8/15/2021,42,29,16
8/22/2021,42,31,17
8/29/2021,40,30,17
9/5/2021,41,30,16
9/12/2021,45,34,17
9/19/2021,45,34,18
9/26/2021,45,32,16
10/3/2021,42,31,17
10/10/2021,40,28,16
10/17/2021,46,31,17
10/24/2021,43,31,17
10/31/2021,39,29,17
11/7/2021,47,31,17
11/14/2021,46,33,18
11/21/2021,39,27,15
11/28/2021,44,30,17
12/5/2021,40,29,17
12/12/2021,44,27,17
12/19/2021,40,26,15
12/26/2021,40,26,14
1/2/2022,56,38,21
1/9/2022,60,38,24
1/16/2022,57,38,23
1/23/2022,61,41,26
1/30/2022,60,40,25
2/6/2022,64,42,28
2/13/2022,73,44,28
2/20/2022,66,40,27
2/27/2022,68,40,27
3/6/2022,66,42,27
3/13/2022,69,42,28
3/20/2022,71,40,27
3/27/2022,71,40,31
4/3/2022,71,43,27
4/10/2022,67,46,27
4/17/2022,76,40,29
4/24/2022,69,39,28
5/1/2022,71,41,28
5/8/2022,69,37,28
5/15/2022,68,39,26
5/22/2022,68,41,28
5/29/2022,71,41,26
6/5/2022,70,39,27
6/12/2022,74,43,28
6/19/2022,74,41,29
6/26/2022,74,39,30
7/3/2022,69,41,30
7/10/2022,76,40,30
7/17/2022,79,43,29
7/24/2022,76,40,30
7/31/2022,78,41,33
8/7/2022,76,41,30
8/14/2022,74,44,31
