ID,source,company_name,company_id,min_yearly_salary,max_yearly_salary,company_link,description,python,sql,r,scala,tableau,power_bi,mysql,postgresql,nosql,etl,dax,aws,azure,remote,hybrid,on_site,junior,mid,senior
3743975357,LinkedIn,Public Sector Resourcing,528754326,48800,56.12,https://uk.linkedin.com/company/public-sector-resourcing?trk=public_jobs_topcard_logo,"
Data Engineer (SC Cleared) - Inside IR35Contract Term: 5 MonthsContracting Authority: Cabinet OfficeLocation: Hybrid – London/Manchester/York/GlasgowThe team: The team will consist of a Lead Data Scientist and 2-3 additional Data Scientists. You will also work closely with the Project Lead, and three working groups consisting of potential product customers, HR policy and strategy colleagues and the in-house data architecture team. The team is based in the Government People Group.Job role:Security Cleared to SC Level, you will take a leadership role in the development of a new tool and feedback mechanism that uses generative AI and advanced machine learning techniques to enhance the quality of job descriptions across the Civil Service. This is a contained 5 month project which will require input and expertise at all stages from refinement of the product scope based on an assessment of technical system capabilities, development and testing of the product, and pilot delivery. The project has a high level of senior engagement and will involve collaboration with customer working groups.A secondary aim of this project is the upskilling of the GPG analytical teams, building capability to deploy similar projects at pace in the future, and identification of ways to improve processes in the longer term. A part of the role will be in upskilling more junior Data Scientists and Engineers.Job Requirements EssentialSecurity Cleared to SC LevelExperience deploying LLMs on Python/AWS infrastructure, and GitHub.Knowledge of working with S3-based storage for use by an overlying analytics service (Athena).Experience in AI Engineering – LangChain, RAG and vector sectors like Chroma.Extensive experience in developing and implementing generative AI models, such as GANs, VAEs, and related architectures.Strong experience in programming languages commonly used in AI research, such as Python, Sagemaker and TensorFlow/PyTorch.Strong knowledge and use of Python and NLP techniques/technologies.PhD or master’s degree in computer science, Artificial Intelligence is highly preferred or equivalent experience.Skilled in mentoring, leading and upskilling junior colleagues.Strong stakeholder engagement skills.Desirable · Strong experience with machine learning concepts, including deep learning, and optimization algorithmIf this role sounds like you, please click the link to apply and speak to one of our PSR team now. mark.salmon@publicsectorresourcing.co.uk Should you require reasonable adjustments at any point during the recruitment process or if there is a more accessible way for us to communicate, please do let me know. If you consider yourself to have a disability or if you are a veteran, and you meet the essential criteria for the role, PSR provides a ‘Guaranteed Interview’ scheme whereby you will have the opportunity to discuss this role and your suitability with a member of our PSR Sourcing team If you qualify, please notify us on PSRapplications@publicsectorresourcing.co.uk and we will be in touch. In applying for this role, you acknowledge the following this role falls in scope of the Off Payroll Working in the Public Sector legislation. Any rates of payment quoted will reflect the gross rate per day for the assignment and will be subject to appropriate taxes and statutory costs. As such the payment to the intermediary and your income resulting from this contract will be different.
",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
3743948460,LinkedIn,Orion Group,737091399,36600,48.8,https://uk.linkedin.com/company/orion-group_36539?trk=public_jobs_topcard_logo,"
We are seeking a Data Engineer with experience of Geospatial/GIS systems. The successful candidate will sit within our clients TS/TDM team however, work on projects related to their Wind side of the business. This role is a new, project position, from Jan – end of November 2024, with potential for extension. Responsibilities:• Deliver Geographical Information Service (GIS) for the Wind Hub using HQ technical specifications, procedures & standards, rules & processes, in order to meet their spatial data needs.• Deliver [GIS] data requests to prepare, capture, search, transfer and QC data are fulfilled for TRENUK or external parties to meet stakeholder needs within the scope and priorities of the service.• Create, Publish and Manage map services for use in ArcGIS for Portal and ArcGIS Online (using ArcGIS Server and Image Server)• Produce and manage complex cartographic documents using HQ technical specifications, procedures & standards, rules & processes for each offshore wind project.• Co-build GIS studies such as offshore wind farm layouts, cable routings and site selection and undertake analyses for decision support• Contribute to data acquisition operations in geomatics (e.g. topography, remote sensing), engineering (e.g. geophysical or geotechnical surveys) or HSE surveys (e.g. environmental baseline or monitoring surveys) from definition of needs to validation of deliverables.• Execute appropriate geodetic calculations where required.• Organize and provide GIS application support to end users or internal team.• Follow up on the development, assessment and implementation of GIS and cartographic solutions and propose enhancement tools.• Closely cooperate with HQ geospatial data information specialists for all GIS related matters.• Closely follow, use & contribute to the development, drafting, updating and/or management of Technical Reference documents for this specialty.• Collaborate, contribute and exchange know-how related to Geographical Information Systems.• Promote and encourage the use of geographical information environment and dataExperience & Qualifications:• At least a BSc degree in Geographical Information Services or Computer Science disciplines with relevant professional experience or relevant work experience in development of energy and renewables projects.• Technical skills in Geographical Information Systems, (ESRI software, inc ArcSDE and ArcGIS Server, FME, AGOL), geodesy and general knowledge of spatial data analysis techniques. Knowledge of other GIS software desirable, e.g. QGIS.• Experience of Web GIS (ArcGIS for Portal/ArcGIS Enterprise & ArcGIS Online). Publishing and management of data, creation of web maps and web mapping applications• Good knowledge of Geodesy• Programming skills and aptitude in Python and SQL• Experience of working within a Power BI based reporting environment.• Knowledge of ETL tools (Safe FME) and scripting in Python, SQL.• Organized, methodical and able to multi-task whilst working under tight deadlines• Behavioral skills: self-motivated, autonomy, open-mindedness, adaptability, achievement orientation, team player
",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
3743277422,LinkedIn,Match Digital,388385608,71980,84180,https://uk.linkedin.com/company/matchdigital?trk=public_jobs_topcard_logo,"
Data EngineerLondon£59,000 - £69,000 + benefitsFlexible working (1 day in the office per week)Our clientOver the past few years, we’ve scaled the global Customer Experience Team (a hybrid startup-consultancy) in one of the world’s most powerful brands. The team encompasses Product, Strategy, Design, Analytics and Implementation. They design and deliver experiences for customers – connecting the customer’s devices with the brand and world around them.With over 150,000 employees spread across almost 200 countries, our client has innovation at their core and is proud to be building products and services that leave a positive and sustainable impact on society, the environment and in education.They are an organisation that enrich lives with a cross-functional, international environment built upon transparency and empathy. With almost 40 nationalities in the UK HQ, they embrace diversity and encourage applications from mixed backgrounds, genders, nationalities, ages and lifestyles – seeking to learn from these different perspectives.The roleOur client is moving towards the next phase of customer experience - evolving to delivering integrated journeys that meet customer needs traversing both online and offline channels.The Data Engineer will design, build, and maintain the infrastructure and systems required to collect, process, store, and analyse large volumes of data. This role will also be responsible for identifying key data sources within different systems.As Data Engineer, you will:Collaborate with cross-functional teams to understand data requirements, translating these into technical solutions.Design and implement efficient and scalable data pipelines to collect, process, and transform raw data into usable formats for analysis and consumption.Build and maintain data warehouses, data lakes and data lakehouses that function as repositories for both structured and unstructured data.Ensure data quality, reliability, and accessibility.Develop data models and schemas that optimise data storage, retrieval, and querying performance.Integrate data from numerous sources (databases, APIs, streaming platforms, and third-party systems).ETL (extract, transform, and load) data into appropriate data structures and formats. Leverage tools and technologies such as Apache Spark, Hadoop, cloud-based solutions including data virtualisation and data semantic layers.Implement processes and checks to ensure data accuracy, consistency, and compliance with regulatory requirements.Identify and resolve performance bottlenecks in data processing and storage. Optimise query performance and ensure scalability.Monitor data pipelines and systems, troubleshoot issues, and perform routine maintenance tasks (backups, upgrades, and patching).Identify and implement data engineering best practices, standards, and processes. Ensure thorough data governance and security.Stay up to date with emerging data technologies and trends, evaluating their potential application.Document system designs, processes, and workflows to facilitate knowledge sharing and maintain a robust data infrastructure.We would like you to haveProven experience as a Data Engineer or Data Analyst with strong SQL experience (other programming language – Python, Scala, Java – is beneficial).Confidence in building data virtualisation layers and data semantic layers.Strong knowledge of relational databases (MySQL, PostgreSQL), experience with data warehousing concepts and tools (Snowflake, Redshift), data lakes and data lakehouses.Familiarity with distributed computing frameworks like Apache Hadoop, Apache Spark, and NoSQL databases (such as MongoDB, Cassandra).An understanding of data modelling techniques (relational, dimensional, and NoSQL) and proficiency in designing efficient and scalable database schemas.Experience with workflow orchestration tools (Apache Airflow, Prefect) and data pipeline frameworks (Apache Kafka, Talend).Familiarity with cloud platforms (AWS, GCP) and their data services (AWS Glue, GCP Dataflow) for building scalable cost-effective data solutions.Knowledge of data quality assessment and governance practices, including data profiling & cleansing. Knowledge of privacy and security regulations.Excellent problem-solving, communication, and collaboration skills (essential).The perksThe chance to develop your career with a global, multicultural team working on a fascinating customer experience transformation programme.A flexible working environment and the ability to work from home / flexible hours.Private healthcare and private dental insurance.Competitive pension, 26 days holiday (excluding bank holidays).Car lease scheme, season ticket loan and cycle to work schemes.Match Digital specialises in connecting talented individuals with businesses in the digital, tech, media and marcomms industries.
",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
3743998225,LinkedIn,Paragon Alpha - Hedge Fund Talent Business,1102011596,341.6,341.6,https://uk.linkedin.com/company/paragonalpha?trk=public_jobs_topcard_logo,"
Paragon Alpha is working with a multi-strategy hedge fund who have become known as one of London's best destinations for technologists. They strive to integrate technology and trading so that the firm is operating on the cutting edge of both fields. They're looking for a Quant Data Engineer to come into their team to work with large scale and varied data-sets needed by the firm. The team are building distributed systems, allowing a horizontally scalable architecture, allowing trading desks to get vast data-sets. Stack: Python, Airflow, ETL, AWSThe team have hired from rival funds, and also start ups and large tech firms. The emphasis is ability with back-end/data engineering and a passion for data sets, rather than industry background.If you would like the chance to work with some of the worlds best technologists and investment professionals, then please get in touch.
",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
3744576950,LinkedIn,Gibbs Hybrid,439016937,603.9,603.9,https://uk.linkedin.com/company/gibbshybrid?trk=public_jobs_topcard_logo,"
Gibbs Hybrid require an experienced Data Engineer for a public services/government contract. To be considered, you’ll need to have worked on a recent government/public sector project. Day rate: Up to £495 per day (Inside) – This is non-negotiableLocation: Remote – Travel for key meetings at client siteContract length: initial 6 month contract Data Engineer: Creating new and maintaining existing data pipelines These pipelines will mostly be written in python or Pyspark, using airflow as an orchestrator. Developing infrastructure to bringing new data sources into an enterprise data hub Maintaining and extending custom containerised apps (built in python using docker) used as part of our data pipelines. Maintaining and improving current testing setup for data pipelines Owning and reporting on tasks and workstreams in daily stand-up’s attended by the client.Experience in Pyspark (mandatory) Experience using git (Github/Gitlab/Azure DevOps) for source control management e.g. branching, tagging and resolving merge conflicts (mandatory) Exxperience using AWS Glue (highly preferred) Writing unit tests with Pytest (highly preferred)Interested? Please apply for immediate consideration from the Gibbs Hybrid team.
",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
3744424713,LinkedIn,Vitrifi Digital,844824953,,,https://uk.linkedin.com/company/vitrifi-digital?trk=public_jobs_topcard_logo,"
About Us: Vitrifi Digital is a mobile services company creating bespoke mobile applications for a range of mobile sector products.Our company vision is to remove the barriers to connectivity for consumers and businesses alike, by providing a full turnkey solution that provides an end user with full control of their mobile experience. We were founded in 2022 with the first official employee starting in February 2023 and many more have since joined. Together, we reimagine mobile.A little more about us:We are based in the Tileyard, Kings Cross, London https://tileyard.co.uk/We offer a hybrid working arrangement.Our Culture and Values - we are currently shaping these together (we are naturally inclusive, collaborative and we all really care about Vitrifi Digital and have a really deep desire to achieve success).We offer a very comprehensive suite of premium benefits and very competitive salaries.We are super excited to now be hiring a Data Engineer. Role OverviewData Engineer will be responsible for building and maintaining a world class high availability data infrastructure deployed in a cloud environment. This is a critical role in Vitrifi Digital. The data professional taking on this challenge will build systems that collect, manage, and convert raw data into usable information to enable Business Intelligence operations. They will work in close collaboration with Solutions Architects, Business Analysts and other stakeholders to implement methods to improve data reliability and quality and collaborate with data scientists and architects in VfD to innovate the data portfolio. Work closely with the CTO to evaluate strategic business needs and objectives and align data systems with these as part of CI/CD. Collect, collate, and organise raw data from different sourcesBuild data systems and pipelines using cloud services and toolsInterpret trends and patterns and conduct complex data analysisPrepare data for prescriptive and predictive modelling using machine learning methodsBuild algorithms and prototypes to test and optimise data solutionsExplore ways to enhance data quality and reliability and identify opportunities for data acquisition.Develop analytical tools and programs using well-known programming languages (e.g. Java, Python, SQL, GO)Monitor and manage the performance and security of cloud-based data systemsCollaborate with stakeholders to understand their requirements and objectives. Develop and build end-to-end solutions that integrate seamlessly with existing systems and technologies.Create ensure and maintain a high availability solution across multiple cloud instances. Ensure that solutions are scalable, secure, and reliable.Evaluate technology stacks, platforms, and tools that best suit the project requirements. Stay up-to-date with emerging technologies and industry trendsKey Skills and ExperienceMinimum of 3 years engineering experience in cloud & data technologies.Minimum of BSc/BA.Demonstrable technical/analytical expertise including but not limited to:Ability to produce domain relevant code in GitLab and Python,Certifications in relevant technologies or frameworks (e.g., AWS/Azure/GGL Certified Solutions Architect, TOGAF, etc.).Familiarity with DevOps practices and CI/CD pipelines.Knowledge of industry-specific regulations and compliance standards.Familiar with and/or an exposure to API’s (RESTful, SOAP & GraphQL).Experience with basic A!/ML technologies Understanding of basic networking concepts and data flows.Strong expertise in managing and engineering complex software solutions.Proficiency in cloud computing platforms, architecture patterns, and micro-services.Excellent problem-solving and analytical skills.Strong communication and interpersonal abilities.Project management experience a plus.This is such a critical role in our business and it could be you, who is responsible for building and maintaining a world class high availability data infrastructure deployed in a cloud environment!
",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
3743970510,LinkedIn,McCabe & Barton,1536219564,61,79.3,https://uk.linkedin.com/company/mccabe-&-barton?trk=public_jobs_topcard_logo,"
Job Description12 month FTC opportunity with a global fund manager based in London, hybrid working.You will be part of a highly effective engineering team, responsible for building the firm’s Investments Data and Analytics Platform, hosted on the cloud. This platform will power both the users in Investments (such as Quantitative Analysts, Research Analysts, Portfolio Modelers, Portfolio Managers, Traders, etc.), and the applications and tools developed by our engineers in Front Office Technology.This role comes with a lot of room to make a significant impact on the end-users and improve the customer experience. You will work in an environment that encourages creativity, innovation and modern state-of-the-art principles, practices, and technologies.You will be responsible for:Practicing disciplined software engineering (domain analysis, software design, automated testing, code reviews, and writing great, pragmatic code)Helping with building and maintaining high quality, operationally ready, state-of-the-art systemsMentoring and assisting team membersOwn the delivery of complex capabilities end to end. Focusing on supporting, uncovering, and addressing users' needsDelivering and running a data platform consisting of complex data pipelines, orchestration, data quality validation, complex event processing, enhanced monitoring.Required skills and expertise:Extensive experience with database development, operations and support (SQL / NoSQL)Proficient in data modelling; experience with big data processing.Experience of writing readable, maintainable, testable code in an intensely iterative, agile environment5+ years coding experience (Python / JavaScript / Java / Kotlin / C++)Experience of working with distributed systemsGood understanding of the cloud (preferably AWS)Experience with quality assurance practices (Unit Tests, Automated Tests, Code Reviews, Manual Tests)Desirable experience/skills:Exposure to the asset management business and/or financial marketsFamiliarity with AWS, Kubernetes, Docker, TerraformExperience with Spark, Databricks, Airflow
",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
3742817726,LinkedIn,Rider Levett Bucknall,2139540869,,,https://www.linkedin.com/company/rider-levett-bucknall_3?trk=public_jobs_topcard_logo,"
RLB is an independent global construction and property consultancy providing management and advice throughout the built environment.We are committed to creating value for our clients, achieving commercial success, project and programme success and optimised assets to projects across the world. We do this through our extensive expertise in cost management and quantity surveying, project and programme management, asset advisory and specialist consultancy.Throughout our long history, our 4,300 people, working across 40 countries, have made a difference to our clients by combining fresh perspectives with sector expertise.Together, we’re creating a better tomorrow through flawless execution today.Department OverviewThe Digital and Data Services team support RLB's core services in their use and application of digital, data and technology. This service extends to delivering data services to clients, through the production of data capture tools, reporting and analytics.Our role is to ensure our customers gain the maximum advantage from their data. We are involved at all stages of the data lifecycle from the initial gathering & processing stage, through the analysis phase, leading to actionable outputs & advice.Overview Of RoleTo support, maintain and develop the company’s investment in digital technologiesTo promote and deliver digital services in support of core services, directly to customers and operationsTo participate in customer and operational meetings (where applicable)Liaise with business subject matter experts to achieve a common understanding of the business, their needs, challenges, data requirements.Key Responsibilities Of The RolePromote best practice in line with the company data strategy / lifecycle and ensure that all data is secureStay up to date on the new features and updates on the Data tools utilised by the businessPromote the use of appropriate digital tools internally and externallyProvide support to data management solutionSupport the Digital Services team with R&D activitiesProvide digital services updates to staff via communications and meetingsKeep project tasks up to date within DevOpsPerson SpecificationFollow a requirement specification to create the appropriate technical solutionHold an understanding for all aspects of development, including design, solution architecture, issue identification/resolutionExperience of the development lifecycleExperience using SQL Server, T-SQLExperience of data modelling capabilities, relationships between data tables and data structure best practicesAbility to work with both internal and customer stakeholdersGood presentation skillsCreativity, problem solving and analytical skillsAble to articulate technical concepts to non-technical audiencesSelf-motivated, willingness to learn and develop, share knowledge and understanding of the wider digital industry, and to transfer skillsCommitted to continuous developmentVersatile and copes well under pressureEnthusiastic and positive in approach, especially in the face of adversityAt RLB, our aim is to create and enhance an inclusive workplace culture where diversity is not only accepted but valued and built into our company culture, creating opportunity for all. In order to support this, we recognise the importance of flexible and agile working and are open to having conversations on how this could work for you and our business from day one.If you require any reasonable adjustments to support you during any stage of the application or interview process, please contact our recruitment team at: recruitment@uk.rlb.com
",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3743270387,LinkedIn,Understanding Recruitment,1235467736,61,79.3,https://uk.linkedin.com/company/understanding-recruitment?trk=public_jobs_topcard_logo,"
Data EngineerLocation: 🏢 Hounslow, UK (Hybrid Work Arrangement)🚀 About Us: Calling all Data Enthusiasts! 📢 We're on the hunt for a visionary Data Engineer to join our team and spearhead a revolution in the real estate industry using the power of Big Data and Cloud technologies. 🏡 With a legacy of pioneering achievements, we're embarking on a thrilling journey into the future, driven by Big Data and AI, with a mission to redefine how we shape the world of real estate! 🌍🌟 The Role: As a Data Engineer, you won't just be part of our team; you'll be the driving force behind our digital transformation! 💻🌐 Get ready to roll up your sleeves and work with cutting-edge technologies, including Databricks and Azure, to turn data into game-changing solutions.🚀 Key Responsibilities: 🤝 Collaborate with cross-functional dream teams to craft and maintain our state-of-the-art data infrastructure.🛠️ Leverage Databricks and Azure wizardry to design and implement data pipelines that redefine the real estate game.🧐 Ensure data accuracy, quality, and security - you're the guardian of data integrity!📈 Perform data magic, from integration and transformation to optimization.📊 Unleash the power of SQL fundamentals to dive deep into data analysis.Apply now!
",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3744148778,LinkedIn,83zero Ltd,814842495,610,610,https://uk.linkedin.com/company/83zero-ltd?trk=public_jobs_topcard_logo,"
        Role: Data Engineer (AWS)location: UK - RemoteLength: 12 Months (4 Days A Week)Rate: £500 per day OutsideOur client who are a fast-growing content hosting technology company, are looking for a highly experienced Data Engineer to join their data and product team on an initial 6-month contract.Fully remote working with a German entity.4 days per week!As a Data Engineer, you will be responsible for designing, building and maintaining data pipelines, and ensure the data infrastructure is reliable, scalable, and high-performing to support both business decision-making and driving new features with data. They take an Agile, collaborative approach to foster teamwork and innovation.About The RoleDigest data requirements to design, build, and maintain scalable and reliable data pipelines and visualisations.Monitor and troubleshoot data pipelines, ensuring data quality and integrity.Collaborate with our cross-functional team to ensure data-related requirements are fit for purpose.Develop and maintain ETL/ELT processes to support Business Intelligence and reporting.Continuously evaluate and improve data management processes to ensure scalability.Develop and maintain documentation for our data landscape.About The RoleExperience with cloud-based data platforms (AWS preferred).Experience with Datamodelling and data warehousing concepts.Understanding of how and where to intercept data in a microservice architecture.Strong problem-solving skills and attention to detail
      ",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
