ID,title,company,location,posting_date,link,source
1.91024E+11,Data Engineer,Nawy,Cairo - Egypt,2023-10-19,https://www.naukrigulf.com/data-engineer-jobs-in-cairo-egypt-in-nawy-3-to-7-years-n-cd-40000913-jid-191023500945,NakuriGulf
1.91024E+11,Associate Data Engineer,Client of Talentmate,Abu Dhabi - United Arab Emirates,2023-10-19,https://www.naukrigulf.com/associate-data-engineer-jobs-in-abu-dhabi-uae-in-client-of-talentmate-2-to-4-years-n-cd-50000147-jid-191023500024,NakuriGulf
1.91024E+11,Data Engineer,DXC.technology,Cairo - Egypt,2023-10-19,https://www.naukrigulf.com/data-engineer-jobs-in-cairo-egypt-in-dxc-technology-2-to-4-years-n-cd-20010162-jid-191023500479,NakuriGulf
1.91024E+11,Data Engineer-Data Integration,IBM WTC Egypt,Cairo - Egypt,2023-10-19,https://www.naukrigulf.com/data-engineer-data-integration-jobs-in-cairo-egypt-in-ibm-wtc-egypt-0-to-2-years-n-cd-20010162-jid-191023500170,NakuriGulf
61023000047,Walk In Interview Customer service and Data entry,Confidential Company,Dubai - United Arab Emirates,2023-10-19,https://www.naukrigulf.com/walk-in-interview-customer-service-and-data-entry-jobs-in-dubai-uae-in-confidential-0-to-3-years-n-jid-061023000047,NakuriGulf
1.81023E+11,Academic Coordinator IGCSE,Physics Wallah (Gulf)- Knowledge Planet,Dubai - United Arab Emirates,2023-10-19,https://www.naukrigulf.com/academic-coordinator-igcse-jobs-in-dubai-uae-in-physics-wallah-knowledge-planet-2-to-8-years-n-cd-66444-jid-181023000056,NakuriGulf
1.81023E+11,Project Manager,Lestars Management Consultancy LLC,Dubai - United Arab Emirates,2023-10-19,https://www.naukrigulf.com/project-manager-jobs-in-dubai-uae-in-lestars-management-consultancy-llc-2-to-5-years-n-cd-227093-jid-181023000030,NakuriGulf
1.91024E+11,BIG DATA TEAM LEAD,Client of Digital Talent MENA,Cairo - Egypt,2023-10-19,https://www.naukrigulf.com/big-data-team-lead-jobs-in-cairo-egypt-in-client-of-digital-talent-mena-7-to-10-years-n-cd-50000128-jid-191023500012,NakuriGulf
1.91024E+11,Data Analyst,Client of Universal Staffing Services,Doha - Qatar,2023-10-19,https://www.naukrigulf.com/data-analyst-jobs-in-doha-qatar-in-client-of-universal-staffing-services-5-to-8-years-n-cd-50000120-jid-191023500102,NakuriGulf
1.91024E+11,Digital Marketing Data Analyst,Rashid Al Jabri Group,Cairo - Egypt,2023-10-19,https://www.naukrigulf.com/digital-marketing-data-analyst-jobs-in-cairo-egypt-in-rashid-al-jabri-group-3-to-10-years-n-cd-20010162-jid-191023500091,NakuriGulf
1.91024E+11,Data Entry Clerk,Data Entry Services,United Arab Emirates - United Arab Emirates,2023-10-19,https://www.naukrigulf.com/data-entry-clerk-jobs-in-uae-in-data-entry-services-2-to-4-years-n-cd-20010198-jid-191023500002,NakuriGulf
1.91024E+11,Data Entry / Office Admin,Absher Construction Company,United Arab Emirates - United Arab Emirates,2023-10-19,https://www.naukrigulf.com/data-entry-office-admin-jobs-in-uae-in-absher-construction-company-3-to-5-years-n-cd-20010198-jid-191023500226,NakuriGulf
1.91024E+11,Office Coordinator / Data Entry,Absher Logisctis Co,United Arab Emirates - United Arab Emirates,2023-10-19,https://www.naukrigulf.com/office-coordinator-data-entry-jobs-in-uae-in-absher-logisctis-co-3-to-5-years-n-cd-20010198-jid-191023500193,NakuriGulf
1.91024E+11,Verification Coordinator,Etijah,Egypt - Egypt,2023-10-19,https://www.naukrigulf.com/verification-coordinator-jobs-in-egypt-in-etijah-4-to-8-years-n-cd-10003148-jid-191023500943,NakuriGulf
1.91024E+11,Sea Logistics Sales,KUEHNE NAGEL INC,Abu Dhabi - United Arab Emirates,2023-10-19,https://www.naukrigulf.com/sea-logistics-sales-jobs-in-abu-dhabi-uae-in-kuehne-nagel-inc-2-to-5-years-n-cd-10003312-jid-191023500722,NakuriGulf
